VSH_TAU_0,VSH_TAU_SAT,VSH_B,AI_N,AI_GAMMA0,VIHR_S0,VIHR_R,VIHR_D,GPL_N,GPL_ETA,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
100.0,1500.0,10.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.11554823632213,411.4,638.27,826.06,1038.4,1207.4,1402.3,1559.2,1711.7,1860.5,2006.1,2149.0,2289.4,2400.2,2509.8,2618.3,2725.8,2805.9,2911.8,2990.8,3069.2,3147.3,3224.8,3276.3,3353.1,3403.9
100.0,1500.0,10.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.11452417747044,411.05,639.14,827.13,1039.6,1241.8,1403.7,1591.4,1743.1,1891.2,2036.1,2178.3,2290.3,2428.4,2537.5,2645.5,2725.8,2832.1,2911.1,2989.6,3067.6,3145.1,3222.0,3273.0,3348.8,3398.9
100.0,1500.0,10.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.11442153336091,410.88,639.55,827.63,1040.2,1242.4,1436.1,1592.0,1743.7,1920.9,2036.6,2178.6,2318.3,2428.5,2537.4,2645.2,2752.0,2831.4,2936.3,3014.4,3091.9,3143.2,3219.7,3295.4,3345.3,3394.9
100.0,2000.0,0.1,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.46426984801704,413.53,469.97,524.33,577.05,628.36,678.36,715.04,762.88,809.51,854.92,899.09,941.99,983.58,1023.8,1062.7,1100.1,1136.0,1170.3,1203.1,1234.2,1263.6,1291.2,1323.2,1346.7,1368.2
100.0,2000.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.49589081288368,332.56,369.44,396.27,431.28,457.04,490.77,515.61,548.14,579.98,611.13,641.59,671.35,693.22,721.75,756.43,783.37,809.59,835.1,859.9,889.88,913.05,941.01,962.56,988.48,1013.3
100.0,2000.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.49669523344863,306.3,333.81,368.28,393.29,417.82,449.93,481.47,504.76,535.34,565.38,594.88,623.82,645.15,679.96,707.12,733.65,759.53,784.75,815.3,838.94,867.46,889.4,915.71,940.67,964.18
100.0,2000.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.49614609485747,296.08,323.91,349.8,382.93,407.13,438.8,462.17,492.87,523.07,545.39,574.71,603.5,631.76,659.44,686.54,713.02,745.21,770.22,794.54,823.93,846.6,873.81,899.64,923.9,946.3
100.0,2000.0,0.1,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.49567472528453,290.69,318.71,344.57,377.55,401.61,433.16,456.31,486.81,509.38,539.03,568.18,596.83,624.95,652.52,679.5,705.86,731.59,762.83,787.07,816.36,838.95,866.04,891.67,915.51,937.05
100.0,2000.0,1.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.27615052066331,439.87,523.32,631.11,737.29,842.16,945.78,1048.2,1174.8,1275.0,1374.3,1472.9,1595.3,1692.6,1789.5,1886.0,1982.2,2078.2,2174.0,2269.6,2365.2,2460.6,2555.9,2651.3,2746.5,2841.8
100.0,2000.0,1.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.272109696001,390.23,513.77,625.53,734.36,841.18,972.33,1075.6,1177.6,1303.6,1403.3,1502.2,1624.7,1722.1,1818.9,1915.3,2011.2,2106.8,2202.0,2296.9,2391.5,2485.9,2579.9,2673.7,2743.9,2837.1
100.0,2000.0,1.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.27627513215523,379.32,478.29,618.92,727.07,833.07,963.15,1065.6,1166.7,1291.7,1390.5,1488.5,1610.0,1706.5,1802.4,1897.8,1992.8,2087.4,2181.5,2275.4,2368.8,2461.9,2554.6,2646.9,2715.8,2807.3
100.0,2000.0,1.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.27815314498442,374.64,475.73,616.32,724.17,829.83,959.49,1061.6,1162.4,1286.9,1385.4,1483.1,1604.1,1700.3,1795.8,1890.9,1985.5,2079.6,2173.4,2266.7,2359.6,2452.2,2544.3,2635.9,2704.3,2794.9
100.0,2000.0,1.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.27928665865849,372.29,474.43,614.95,722.62,828.11,957.53,1059.4,1160.1,1284.3,1382.6,1480.1,1600.9,1696.9,1792.3,1887.1,1981.5,2098.8,2192.2,2261.9,2354.6,2446.8,2538.5,2629.7,2697.8,2788.0
