tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
1500,100,300,3.33e-05,1,187904.8191,0.0083802,0.014383,0.026214,0.026214,0.038089,0.038089,0.050059,0.050059,0.062138,0.074334,0.074334,0.086654,0.086654,0.099104,0.099104,0.11169,0.12442,0.12442,0.1373,0.1373,0.15042,0.15702,0.16365,0.16365,0.17705
1,10,100,3.33e-05,2,34367.0783,0.0069949,0.013497,0.013497,0.020046,0.026649,0.033309,0.040033,0.046824,0.046824,0.053688,0.060632,0.06766,0.074781,0.074781,0.082006,0.089353,0.096873,0.10067,0.10837,0.11629,0.12035,0.12875,0.13766,0.14234,0.15198
1500,100,300,3.33e-05,2,9663676.4159,0.0092179,0.014719,0.014719,0.025418,0.025418,0.036196,0.036196,0.04161,0.04707,0.052583,0.058151,0.06378,0.069474,0.075244,0.081102,0.081102,0.090087,0.093121,0.099273,0.10556,0.11201,0.11872,0.12221,0.12958,0.13731
1,10,100,3.33e-05,3,87241.5231,0.0038462,0.0071517,0.013848,0.013848,0.020624,0.020624,0.027493,0.027493,0.034476,0.034476,0.037986,0.041528,0.04871,0.052358,0.056051,0.059795,0.063604,0.067508,0.071462,0.075503,0.079661,0.08401,0.088768,0.093945,0.10057
1500,100,300,3.33e-05,3,36000000.0,0.0030359,0.0038875,0.0038875,0.005097,0.005097,0.005097,0.005097,0.0069123,0.0069123,0.0069123,0.0069123,0.0069123,0.0069123,0.0091091,0.0091091,0.0091091,0.0091091,0.0091091,0.0091091,0.011106,0.011106,0.011106,0.011106,0.011106,0.011548
1,10,100,3.33e-05,4,229847.8591,0.0022788,0.0039957,0.0074543,0.0074543,0.01452,0.01452,0.018068,0.018068,0.021654,0.025285,0.028975,0.028975,0.032759,0.034665,0.038543,0.040522,0.042535,0.046717,0.048872,0.052211,0.055762,0.059003,0.06249,0.067239,0.072155
1500,100,300,3.33e-05,4,36000000.0,0.0012311,0.0014449,0.0014449,0.0017064,0.0017064,0.0017064,0.0017064,0.0020284,0.0020284,0.0020284,0.0020284,0.0020284,0.0020284,0.0023461,0.0023461,0.0023461,0.0023461,0.0023461,0.0023461,0.0025919,0.0025919,0.0025919,0.0025919,0.0025919,0.0026445
1500,100,300,3.33e-05,5,36000000.0,0.00072933,0.00081346,0.00081346,0.00091595,0.00091595,0.00091595,0.00091595,0.0010386,0.0010386,0.0010386,0.0010386,0.0010386,0.0010386,0.0011549,0.0011549,0.0011549,0.0011549,0.0011549,0.0011549,0.001242,0.001242,0.001242,0.001242,0.001242,0.0012606
1500,100,400,3.33e-05,1,221459.2511,0.0079393,0.013639,0.024844,0.036079,0.036079,0.047395,0.058808,0.058808,0.070324,0.081949,0.081949,0.093689,0.10555,0.10555,0.11753,0.12965,0.12965,0.14191,0.15432,0.15432,0.16691,0.17967,0.17967,0.19254,0.19897
1,10,100,3.33e-05,5,674444.0831,0.0023885,0.0042089,0.0078857,0.0078857,0.0078857,0.015534,0.015534,0.015534,0.019392,0.019392,0.023341,0.023341,0.025326,0.027333,0.029365,0.031429,0.033542,0.035679,0.037864,0.040128,0.04253,0.045084,0.048427,0.052945,0.059629
1500,100,400,3.33e-05,2,9019431.3215,0.0084646,0.013451,0.013451,0.023053,0.023053,0.032671,0.032671,0.032671,0.042417,0.042417,0.052372,0.052372,0.057393,0.062476,0.067635,0.067635,0.075559,0.078236,0.083668,0.089232,0.092078,0.097956,0.10423,0.10755,0.11436
1500,100,400,3.33e-05,3,36000000.0,0.0027117,0.0034973,0.0034973,0.0046036,0.0046036,0.0046036,0.0046036,0.0062421,0.0062421,0.0062421,0.0062421,0.0062421,0.0062421,0.0081966,0.0081966,0.0081966,0.0081966,0.0081966,0.0081966,0.0099534,0.0099534,0.0099534,0.0099534,0.0099534,0.010341
1,10,200,3.33e-05,1,21810.3807,0.0070622,0.013603,0.026807,0.026807,0.040127,0.040127,0.053573,0.053573,0.067158,0.067158,0.080888,0.080888,0.094771,0.10175,0.10876,0.11582,0.12291,0.13005,0.13723,0.13723,0.15181,0.15181,0.16664,0.17407,0.18152
1500,100,400,3.33e-05,4,36000000.0,0.0010322,0.0012236,0.0012236,0.0014621,0.0014621,0.0014621,0.0014621,0.0017584,0.0017584,0.0017584,0.0017584,0.0017584,0.0017584,0.0020517,0.0020517,0.0020517,0.0020517,0.0020517,0.0020517,0.0022787,0.0022787,0.0022787,0.0022787,0.0022787,0.0023273
1500,100,400,3.33e-05,5,36000000.0,0.00061568,0.00067337,0.00067337,0.00075121,0.00075121,0.00075121,0.00075121,0.00085163,0.00085163,0.00085163,0.00085163,0.00085163,0.00085163,0.00095128,0.00095128,0.00095128,0.00095128,0.00095128,0.00095128,0.0010276,0.0010276,0.0010276,0.0010276,0.0010276,0.0010439
